competition_id,season_id,country_name,competition_name,competition_gender,competition_youth,competition_international,season_name,match_updated,match_updated_360,match_available_360,match_available
43,3,International,FIFA World Cup,male,False,True,2018,2023-07-24T13:09:34.513519,2021-06-13T16:17:31.694,,2023-07-24T13:09:34.513519
43,55,International,FIFA World Cup,male,False,True,1990,2023-06-28T10:58:20.137929,2021-06-12T16:17:31.694,,2023-06-28T10:58:20.137929
43,54,International,FIFA World Cup,male,False,True,1986,2023-06-28T11:20:34.252935,2021-06-13T16:17:31.694,,2023-06-28T11:20:34.252935
43,51,International,FIFA World Cup,male,False,True,1974,2023-07-17T23:19:58.853207,2021-06-13T16:17:31.694,,2023-07-17T23:19:58.853207
43,272,International,FIFA World Cup,male,False,True,1970,2023-07-17T23:24:45.579886,,,2023-07-17T23:24:45.579886
43,270,International,FIFA World Cup,male,False,True,1962,2023-06-26T10:38:00.323984,,,2023-06-26T10:38:00.323984
43,269,International,FIFA World Cup,male,False,True,1958,2023-06-26T10:33:08.214831,,,2023-06-26T10:33:08.214831
1238,108,India,Indian Super league,male,False,False,2021/2022,2023-03-31T02:14:09.896947,,,2023-03-31T02:14:09.896947
11,90,Spain,La Liga,male,False,False,2020/2021,2023-11-15T10:25:53.245065,2023-11-15T10:29:14.475865,2023-11-15T10:29:14.475865,2023-11-15T10:25:53.245065
11,42,Spain,La Liga,male,False,False,2019/2020,2023-07-25T00:16:32.999467,2021-06-13T16:17:31.694,,2023-07-25T00:16:32.999467
11,4,Spain,La Liga,male,False,False,2018/2019,2023-11-05T09:50:49.746684,2021-07-09T14:53:22.103024,,2023-11-05T09:50:49.746684
11,1,Spain,La Liga,male,False,False,2017/2018,2023-07-24T13:03:48.574627,2021-06-13T16:17:31.694,,2023-07-24T13:03:48.574627
11,2,Spain,La Liga,male,False,False,2016/2017,2023-11-14T18:26:44.671413,2021-06-13T16:17:31.694,,2023-11-14T18:26:44.671413
11,27,Spain,La Liga,male,False,False,2015/2016,2023-09-20T17:21:32.111535,2021-06-13T16:17:31.694,,2023-09-20T17:21:32.111535
11,26,Spain,La Liga,male,False,False,2014/2015,2023-09-20T17:22:28.925900,2021-06-13T16:17:31.694,,2023-09-20T17:22:28.925900
11,25,Spain,La Liga,male,False,False,2013/2014,2022-07-23T12:18:49.547396,2021-06-13T16:17:31.694,,2022-07-23T12:18:49.547396
11,24,Spain,La Liga,male,False,False,2012/2013,2022-09-25T20:52:24.444609,2021-06-13T16:17:31.694,,2022-09-25T20:52:24.444609
11,23,Spain,La Liga,male,False,False,2011/2012,2022-12-01T14:10:17.791769,2021-06-13T16:17:31.694,,2022-12-01T14:10:17.791769
11,22,Spain,La Liga,male,False,False,2010/2011,2023-04-19T10:48:44.079830,2021-06-13T16:17:31.694,,2023-04-19T10:48:44.079830
11,21,Spain,La Liga,male,False,False,2009/2010,2023-11-29T10:55:10.039117,2021-06-13T16:17:31.694,,2023-11-29T10:55:10.039117
11,41,Spain,La Liga,male,False,False,2008/2009,2023-04-19T10:46:29.203565,2021-06-13T16:17:31.694,,2023-04-19T10:46:29.203565
11,40,Spain,La Liga,male,False,False,2007/2008,2023-04-19T10:42:35.284291,2021-06-13T16:17:31.694,,2023-04-19T10:42:35.284291
11,39,Spain,La Liga,male,False,False,2006/2007,2023-03-26T23:19:39.125951,2021-06-13T16:17:31.694,,2023-03-26T23:19:39.125951
11,38,Spain,La Liga,male,False,False,2005/2006,2022-07-03T12:34:31.749038,2021-06-13T16:17:31.694,,2022-07-03T12:34:31.749038
11,37,Spain,La Liga,male,False,False,2004/2005,2023-11-29T10:56:10.031508,2021-06-13T16:17:31.694,,2023-11-29T10:56:10.031508
11,278,Spain,La Liga,male,False,False,1973/1974,2023-07-06T12:50:48.807820,,,2023-07-06T12:50:48.807820
81,48,Argentina,Liga Profesional,male,False,False,1997/1998,2023-06-28T11:19:54.593488,,,2023-06-28T11:19:54.593488
81,275,Argentina,Liga Profesional,male,False,False,1981,2023-12-05T14:19:40.272816,,,2023-12-05T14:19:40.272816
7,235,France,Ligue 1,male,False,False,2022/2023,2023-12-11T12:07:17.819532,2023-12-11T12:13:49.169623,2023-12-11T12:13:49.169623,2023-12-11T12:07:17.819532
7,108,France,Ligue 1,male,False,False,2021/2022,2023-10-17T06:13:50.369573,2023-10-17T06:16:02.924274,2023-10-17T06:16:02.924274,2023-10-17T06:13:50.369573
7,27,France,Ligue 1,male,False,False,2015/2016,2023-12-13T00:27:57.162379,,,2023-12-13T00:27:57.162379
44,107,United States of America,Major League Soccer,male,False,False,2023,2023-12-13T04:51:24.677007,2023-12-13T04:53:55.191129,2023-12-13T04:53:55.191129,2023-12-13T04:51:24.677007
116,68,North and Central America,North American League,male,False,False,1977,2023-07-24T09:06:54.144896,2021-06-13T16:17:31.694,,2023-07-24T09:06:54.144896
49,3,United States of America,NWSL,female,False,False,2018,2023-07-24T13:01:22.094587,2021-06-13T16:17:31.694,,2023-07-24T13:01:22.094587
2,27,England,Premier League,male,False,False,2015/2016,2023-11-14T11:25:33.476498,2021-06-13T16:17:31.694,,2023-11-14T11:25:33.476498
2,44,England,Premier League,male,False,False,2003/2004,2023-11-14T11:20:59.843499,2021-06-13T16:17:31.694,,2023-11-14T11:20:59.843499
12,27,Italy,Serie A,male,False,False,2015/2016,2023-12-13T17:32:46.423081,,,2023-12-13T17:32:46.423081
12,86,Italy,Serie A,male,False,False,1986/1987,2023-06-18T01:55:53.343752,,,2023-06-18T01:55:53.343752
55,43,Europe,UEFA Euro,male,False,True,2020,2023-02-24T21:26:47.128979,2023-04-27T22:38:34.970148,2023-04-27T22:38:34.970148,2023-02-24T21:26:47.128979
35,75,Europe,UEFA Europa League,male,False,False,1988/1989,2023-06-18T19:28:39.443883,2021-06-13T16:17:31.694,,2023-06-18T19:28:39.443883
53,106,Europe,UEFA Women's Euro,female,False,True,2022,2023-10-24T03:36:54.066267,2023-10-24T03:37:29.085948,2023-10-24T03:37:29.085948,2023-10-24T03:36:54.066267
72,107,International,Women's World Cup,female,False,True,2023,2023-12-12T14:06:50.626363,2023-12-12T14:12:41.561162,2023-12-12T14:12:41.561162,2023-12-12T14:06:50.626363
72,30,International,Women's World Cup,female,False,True,2019,2023-07-27T10:33:48.273734,2021-06-13T16:17:31.694,,2023-07-27T10:33:48.273734
